institution_en,institution_cn,admin_level,url,page_found_on,notes,live_status,live_tested,live_notes
Hebei (provincial-level unit),河北省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Henan (provincial-level unit),河南省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Zhejiang (provincial-level unit),浙江省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Hainan (provincial-level unit),海南省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Hubei (provincial-level unit),湖北省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Hunan (provincial-level unit),湖南省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Gansu (provincial-level unit),甘肃省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Tibet (provincial-level unit),西藏自治区,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Guizhou (provincial-level unit),贵州省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Liaoning (provincial-level unit),辽宁省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Chongqing (provincial-level unit),重庆市,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Shaanxi (provincial-level unit),陕西省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Qinghai (provincial-level unit),青海省,provincial,,reconnectchina.org frontend issuer filter (provinces list in item-url/search JS),listed as searchable issuer / scrape target class; D3.7: provincial websites crawled; portal URL not listed on public pages,no-seed-url,,
Qitaihe,七台河市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Sanya,三亚市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Sanming,三明市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Sanmenxia,三门峡市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shangrao,上饶市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dongying,东营市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhongwei,中卫市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Linxia Hui Autonomous Prefecture,临夏回族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Linfen,临汾市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Linyi,临沂市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lincang,临沧市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dandong,丹东市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lishui,丽水市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lijiang,丽江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Urumqi,乌鲁木齐市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Leshan,乐山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiujiang,九江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yunfu,云浮市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Bozhou,亳州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yichun,伊春市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ili Kazakh Autonomous Prefecture,伊犁哈萨克自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Foshan,佛山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiamusi,佳木斯市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baoding,保定市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baoshan,保山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xinyang,信阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Danzhou,儋州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Kizilsu Kirghiz Autonomous Prefecture,克孜勒苏柯尔克孜自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Karamay,克拉玛依市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lu'an,六安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Liupanshui,六盘水市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lanzhou,兰州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xing'an League,兴安盟,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Neijiang,内江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Liangshan Yi Autonomous Prefecture,凉山彝族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Beihai,北海市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shiyan,十堰市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nanjing,南京市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nanchong,南充市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nanning,南宁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nanping,南平市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nanchang,南昌市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nantong,南通市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nanyang,南阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Bortala Mongol Autonomous Prefecture,博尔塔拉蒙古自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xiamen,厦门市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shuangyashan,双鸭山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Taizhou,台州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hefei,合肥市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ji'an,吉安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jilin City,吉林市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
