name_cn,name_en,level,type,parent_province_cn,is_provincial_capital,is_sub_provincial,notes
绥化市,Suihua,prefecture,prefecture_city,黑龙江省,,,
大兴安岭地区,Daxinganling,prefecture,prefecture,黑龙江省,,,
南京市,Nanjing,prefecture,prefecture_city,江苏省,Y,Y,省会
无锡市,Wuxi,prefecture,prefecture_city,江苏省,,,
徐州市,Xuzhou,prefecture,prefecture_city,江苏省,,,
常州市,Changzhou,prefecture,prefecture_city,江苏省,,,
苏州市,Suzhou,prefecture,prefecture_city,江苏省,,,
南通市,Nantong,prefecture,prefecture_city,江苏省,,,
连云港市,Lianyungang,prefecture,prefecture_city,江苏省,,,
淮安市,Huai'an,prefecture,prefecture_city,江苏省,,,
盐城市,Yancheng,prefecture,prefecture_city,江苏省,,,
扬州市,Yangzhou,prefecture,prefecture_city,江苏省,,,
镇江市,Zhenjiang,prefecture,prefecture_city,江苏省,,,
泰州市,Taizhou,prefecture,prefecture_city,江苏省,,,
宿迁市,Suqian,prefecture,prefecture_city,江苏省,,,
杭州市,Hangzhou,prefecture,prefecture_city,浙江省,Y,Y,省会
宁波市,Ningbo,prefecture,prefecture_city,浙江省,,Y,计划单列市
温州市,Wenzhou,prefecture,prefecture_city,浙江省,,,
嘉兴市,Jiaxing,prefecture,prefecture_city,浙江省,,,
湖州市,Huzhou,prefecture,prefecture_city,浙江省,,,
绍兴市,Shaoxing,prefecture,prefecture_city,浙江省,,,
金华市,Jinhua,prefecture,prefecture_city,浙江省,,,
衢州市,Quzhou,prefecture,prefecture_city,浙江省,,,
舟山市,Zhoushan,prefecture,prefecture_city,浙江省,,,
台州市,Taizhou,prefecture,prefecture_city,浙江省,,,
丽水市,Lishui,prefecture,prefecture_city,浙江省,,,
合肥市,Hefei,prefecture,prefecture_city,安徽省,Y,,省会
芜湖市,Wuhu,prefecture,prefecture_city,安徽省,,,
蚌埠市,Bengbu,prefecture,prefecture_city,安徽省,,,
淮南市,Huainan,prefecture,prefecture_city,安徽省,,,
马鞍山市,Ma'anshan,prefecture,prefecture_city,安徽省,,,
淮北市,Huaibei,prefecture,prefecture_city,安徽省,,,
铜陵市,Tongling,prefecture,prefecture_city,安徽省,,,
安庆市,Anqing,prefecture,prefecture_city,安徽省,,,
黄山市,Huangshan,prefecture,prefecture_city,安徽省,,,
滁州市,Chuzhou,prefecture,prefecture_city,安徽省,,,
阜阳市,Fuyang,prefecture,prefecture_city,安徽省,,,
宿州市,Suzhou,prefecture,prefecture_city,安徽省,,,
六安市,Lu'an,prefecture,prefecture_city,安徽省,,,
亳州市,Bozhou,prefecture,prefecture_city,安徽省,,,
池州市,Chizhou,prefecture,prefecture_city,安徽省,,,
宣城市,Xuancheng,prefecture,prefecture_city,安徽省,,,
福州市,Fuzhou,prefecture,prefecture_city,福建省,Y,,省会
厦门市,Xiamen,prefecture,prefecture_city,福建省,,Y,计划单列市
莆田市,Putian,prefecture,prefecture_city,福建省,,,
三明市,Sanming,prefecture,prefecture_city,福建省,,,
泉州市,Quanzhou,prefecture,prefecture_city,福建省,,,
漳州市,Zhangzhou,prefecture,prefecture_city,福建省,,,
南平市,Nanping,prefecture,prefecture_city,福建省,,,
龙岩市,Longyan,prefecture,prefecture_city,福建省,,,
宁德市,Ningde,prefecture,prefecture_city,福建省,,,
南昌市,Nanchang,prefecture,prefecture_city,江西省,Y,,省会
景德镇市,Jingdezhen,prefecture,prefecture_city,江西省,,,
萍乡市,Pingxiang,prefecture,prefecture_city,江西省,,,
九江市,Jiujiang,prefecture,prefecture_city,江西省,,,
新余市,Xinyu,prefecture,prefecture_city,江西省,,,
鹰潭市,Yingtan,prefecture,prefecture_city,江西省,,,
赣州市,Ganzhou,prefecture,prefecture_city,江西省,,,
吉安市,Ji'an,prefecture,prefecture_city,江西省,,,
宜春市,Yichun,prefecture,prefecture_city,江西省,,,
抚州市,Fuzhou,prefecture,prefecture_city,江西省,,,
上饶市,Shangrao,prefecture,prefecture_city,江西省,,,
济南市,Jinan,prefecture,prefecture_city,山东省,Y,Y,省会
青岛市,Qingdao,prefecture,prefecture_city,山东省,,Y,计划单列市
淄博市,Zibo,prefecture,prefecture_city,山东省,,,
枣庄市,Zaozhuang,prefecture,prefecture_city,山东省,,,
东营市,Dongying,prefecture,prefecture_city,山东省,,,
烟台市,Yantai,prefecture,prefecture_city,山东省,,,
潍坊市,Weifang,prefecture,prefecture_city,山东省,,,
济宁市,Jining,prefecture,prefecture_city,山东省,,,
泰安市,Tai'an,prefecture,prefecture_city,山东省,,,
威海市,Weihai,prefecture,prefecture_city,山东省,,,
日照市,Rizhao,prefecture,prefecture_city,山东省,,,
临沂市,Linyi,prefecture,prefecture_city,山东省,,,
德州市,Dezhou,prefecture,prefecture_city,山东省,,,
聊城市,Liaocheng,prefecture,prefecture_city,山东省,,,
滨州市,Binzhou,prefecture,prefecture_city,山东省,,,
菏泽市,Heze,prefecture,prefecture_city,山东省,,,
莱芜市,Laiwu,prefecture,prefecture_city,山东省,,,"abolished 2019, merged into 济南; kept from source-map"
郑州市,Zhengzhou,prefecture,prefecture_city,河南省,Y,,省会
开封市,Kaifeng,prefecture,prefecture_city,河南省,,,
洛阳市,Luoyang,prefecture,prefecture_city,河南省,,,
平顶山市,Pingdingshan,prefecture,prefecture_city,河南省,,,
安阳市,Anyang,prefecture,prefecture_city,河南省,,,
鹤壁市,Hebi,prefecture,prefecture_city,河南省,,,
新乡市,Xinxiang,prefecture,prefecture_city,河南省,,,
焦作市,Jiaozuo,prefecture,prefecture_city,河南省,,,
濮阳市,Puyang,prefecture,prefecture_city,河南省,,,
许昌市,Xuchang,prefecture,prefecture_city,河南省,,,
漯河市,Luohe,prefecture,prefecture_city,河南省,,,
三门峡市,Sanmenxia,prefecture,prefecture_city,河南省,,,
南阳市,Nanyang,prefecture,prefecture_city,河南省,,,
商丘市,Shangqiu,prefecture,prefecture_city,河南省,,,
信阳市,Xinyang,prefecture,prefecture_city,河南省,,,
周口市,Zhoukou,prefecture,prefecture_city,河南省,,,
驻马店市,Zhumadian,prefecture,prefecture_city,河南省,,,
武汉市,Wuhan,prefecture,prefecture_city,湖北省,Y,Y,省会
黄石市,Huangshi,prefecture,prefecture_city,湖北省,,,
十堰市,Shiyan,prefecture,prefecture_city,湖北省,,,
宜昌市,Yichang,prefecture,prefecture_city,湖北省,,,
襄阳市,Xiangyang,prefecture,prefecture_city,湖北省,,,
鄂州市,Ezhou,prefecture,prefecture_city,湖北省,,,
荆门市,Jingmen,prefecture,prefecture_city,湖北省,,,
孝感市,Xiaogan,prefecture,prefecture_city,湖北省,,,
荆州市,Jingzhou,prefecture,prefecture_city,湖北省,,,
黄冈市,Huanggang,prefecture,prefecture_city,湖北省,,,
咸宁市,Xianning,prefecture,prefecture_city,湖北省,,,
随州市,Suizhou,prefecture,prefecture_city,湖北省,,,
恩施土家族苗族自治州,Enshi,prefecture,autonomous_prefecture,湖北省,,,
长沙市,Changsha,prefecture,prefecture_city,湖南省,Y,,省会
株洲市,Zhuzhou,prefecture,prefecture_city,湖南省,,,
湘潭市,Xiangtan,prefecture,prefecture_city,湖南省,,,
衡阳市,Hengyang,prefecture,prefecture_city,湖南省,,,
邵阳市,Shaoyang,prefecture,prefecture_city,湖南省,,,
岳阳市,Yueyang,prefecture,prefecture_city,湖南省,,,
常德市,Changde,prefecture,prefecture_city,湖南省,,,
张家界市,Zhangjiajie,prefecture,prefecture_city,湖南省,,,
益阳市,Yiyang,prefecture,prefecture_city,湖南省,,,
郴州市,Chenzhou,prefecture,prefecture_city,湖南省,,,
永州市,Yongzhou,prefecture,prefecture_city,湖南省,,,
怀化市,Huaihua,prefecture,prefecture_city,湖南省,,,
娄底市,Loudi,prefecture,prefecture_city,湖南省,,,
湘西土家族苗族自治州,Xiangxi,prefecture,autonomous_prefecture,湖南省,,,
广州市,Guangzhou,prefecture,prefecture_city,广东省,Y,Y,省会
韶关市,Shaoguan,prefecture,prefecture_city,广东省,,,
深圳市,Shenzhen,prefecture,prefecture_city,广东省,,Y,计划单列市
珠海市,Zhuhai,prefecture,prefecture_city,广东省,,,
汕头市,Shantou,prefecture,prefecture_city,广东省,,,
佛山市,Foshan,prefecture,prefecture_city,广东省,,,
江门市,Jiangmen,prefecture,prefecture_city,广东省,,,
湛江市,Zhanjiang,prefecture,prefecture_city,广东省,,,
茂名市,Maoming,prefecture,prefecture_city,广东省,,,
肇庆市,Zhaoqing,prefecture,prefecture_city,广东省,,,
惠州市,Huizhou,prefecture,prefecture_city,广东省,,,
梅州市,Meizhou,prefecture,prefecture_city,广东省,,,
汕尾市,Shanwei,prefecture,prefecture_city,广东省,,,
河源市,Heyuan,prefecture,prefecture_city,广东省,,,
阳江市,Yangjiang,prefecture,prefecture_city,广东省,,,
清远市,Qingyuan,prefecture,prefecture_city,广东省,,,
东莞市,Dongguan,prefecture,prefecture_city,广东省,,,
中山市,Zhongshan,prefecture,prefecture_city,广东省,,,
潮州市,Chaozhou,prefecture,prefecture_city,广东省,,,
揭阳市,Jieyang,prefecture,prefecture_city,广东省,,,
云浮市,Yunfu,prefecture,prefecture_city,广东省,,,
海口市,Haikou,prefecture,prefecture_city,海南省,Y,,省会
三亚市,Sanya,prefecture,prefecture_city,海南省,,,
三沙市,Sansha,prefecture,prefecture_city,海南省,,,
儋州市,Danzhou,prefecture,prefecture_city,海南省,,,省直辖
成都市,Chengdu,prefecture,prefecture_city,四川省,Y,Y,省会
自贡市,Zigong,prefecture,prefecture_city,四川省,,,
攀枝花市,Panzhihua,prefecture,prefecture_city,四川省,,,
泸州市,Luzhou,prefecture,prefecture_city,四川省,,,
德阳市,Deyang,prefecture,prefecture_city,四川省,,,
绵阳市,Mianyang,prefecture,prefecture_city,四川省,,,
广元市,Guangyuan,prefecture,prefecture_city,四川省,,,
遂宁市,Suining,prefecture,prefecture_city,四川省,,,
内江市,Neijiang,prefecture,prefecture_city,四川省,,,
乐山市,Leshan,prefecture,prefecture_city,四川省,,,
南充市,Nanchong,prefecture,prefecture_city,四川省,,,
眉山市,Meishan,prefecture,prefecture_city,四川省,,,
宜宾市,Yibin,prefecture,prefecture_city,四川省,,,
广安市,Guang'an,prefecture,prefecture_city,四川省,,,
达州市,Dazhou,prefecture,prefecture_city,四川省,,,
雅安市,Yaan,prefecture,prefecture_city,四川省,,,
巴中市,Bazhong,prefecture,prefecture_city,四川省,,,
资阳市,Ziyang,prefecture,prefecture_city,四川省,,,
阿坝藏族羌族自治州,Ngawa,prefecture,autonomous_prefecture,四川省,,,
甘孜藏族自治州,Garze,prefecture,autonomous_prefecture,四川省,,,
凉山彝族自治州,Liangshan,prefecture,autonomous_prefecture,四川省,,,
贵阳市,Guiyang,prefecture,prefecture_city,贵州省,Y,,省会
六盘水市,Liupanshui,prefecture,prefecture_city,贵州省,,,
遵义市,Zunyi,prefecture,prefecture_city,贵州省,,,
安顺市,Anshun,prefecture,prefecture_city,贵州省,,,
毕节市,Bijie,prefecture,prefecture_city,贵州省,,,
铜仁市,Tongren,prefecture,prefecture_city,贵州省,,,
黔西南布依族苗族自治州,Qianxinan,prefecture,autonomous_prefecture,贵州省,,,
黔东南苗族侗族自治州,Qiandongnan,prefecture,autonomous_prefecture,贵州省,,,
黔南布依族苗族自治州,Qiannan,prefecture,autonomous_prefecture,贵州省,,,
昆明市,Kunming,prefecture,prefecture_city,云南省,Y,,省会
曲靖市,Qujing,prefecture,prefecture_city,云南省,,,
玉溪市,Yuxi,prefecture,prefecture_city,云南省,,,
保山市,Baoshan,prefecture,prefecture_city,云南省,,,
昭通市,Zhaotong,prefecture,prefecture_city,云南省,,,
丽江市,Lijiang,prefecture,prefecture_city,云南省,,,
普洱市,Puer,prefecture,prefecture_city,云南省,,,
临沧市,Lincang,prefecture,prefecture_city,云南省,,,
楚雄彝族自治州,Chuxiong,prefecture,autonomous_prefecture,云南省,,,
红河哈尼族彝族自治州,Honghe,prefecture,autonomous_prefecture,云南省,,,
文山壮族苗族自治州,Wenshan,prefecture,autonomous_prefecture,云南省,,,
西双版纳傣族自治州,Xishuangbanna,prefecture,autonomous_prefecture,云南省,,,
大理白族自治州,Dali,prefecture,autonomous_prefecture,云南省,,,
德宏傣族景颇族自治州,Dehong,prefecture,autonomous_prefecture,云南省,,,
怒江傈僳族自治州,Nujiang,prefecture,autonomous_prefecture,云南省,,,
迪庆藏族自治州,Diqing,prefecture,autonomous_prefecture,云南省,,,
西安市,Xi'an,prefecture,prefecture_city,陕西省,Y,Y,省会
铜川市,Tongchuan,prefecture,prefecture_city,陕西省,,,
宝鸡市,Baoji,prefecture,prefecture_city,陕西省,,,
咸阳市,Xianyang,prefecture,prefecture_city,陕西省,,,
渭南市,Weinan,prefecture,prefecture_city,陕西省,,,
延安市,Yan'an,prefecture,prefecture_city,陕西省,,,
汉中市,Hanzhong,prefecture,prefecture_city,陕西省,,,
榆林市,Yulin,prefecture,prefecture_city,陕西省,,,
安康市,Ankang,prefecture,prefecture_city,陕西省,,,
商洛市,Shangluo,prefecture,prefecture_city,陕西省,,,
兰州市,Lanzhou,prefecture,prefecture_city,甘肃省,Y,,省会
嘉峪关市,Jiayuguan,prefecture,prefecture_city,甘肃省,,,
金昌市,Jinchang,prefecture,prefecture_city,甘肃省,,,
白银市,Baiyin,prefecture,prefecture_city,甘肃省,,,
天水市,Tianshui,prefecture,prefecture_city,甘肃省,,,
武威市,Wuwei,prefecture,prefecture_city,甘肃省,,,
张掖市,Zhangye,prefecture,prefecture_city,甘肃省,,,
平凉市,Pingliang,prefecture,prefecture_city,甘肃省,,,
酒泉市,Jiuquan,prefecture,prefecture_city,甘肃省,,,
庆阳市,Qingyang,prefecture,prefecture_city,甘肃省,,,
定西市,Dingxi,prefecture,prefecture_city,甘肃省,,,
陇南市,Longnan,prefecture,prefecture_city,甘肃省,,,
临夏回族自治州,Linxia,prefecture,autonomous_prefecture,甘肃省,,,
甘南藏族自治州,Gannan,prefecture,autonomous_prefecture,甘肃省,,,
西宁市,Xining,prefecture,prefecture_city,青海省,Y,,省会
海东市,Haidong,prefecture,prefecture_city,青海省,,,
海北藏族自治州,Haibei,prefecture,autonomous_prefecture,青海省,,,
黄南藏族自治州,Huangnan,prefecture,autonomous_prefecture,青海省,,,
海南藏族自治州,Hainan Zang,prefecture,autonomous_prefecture,青海省,,,
果洛藏族自治州,Golog,prefecture,autonomous_prefecture,青海省,,,
玉树藏族自治州,Yushu,prefecture,autonomous_prefecture,青海省,,,
海西蒙古族藏族自治州,Haixi,prefecture,autonomous_prefecture,青海省,,,
呼和浩特市,Hohhot,prefecture,prefecture_city,内蒙古自治区,Y,,省会
包头市,Baotou,prefecture,prefecture_city,内蒙古自治区,,,
乌海市,Wuhai,prefecture,prefecture_city,内蒙古自治区,,,
赤峰市,Chifeng,prefecture,prefecture_city,内蒙古自治区,,,
通辽市,Tongliao,prefecture,prefecture_city,内蒙古自治区,,,
鄂尔多斯市,Ordos,prefecture,prefecture_city,内蒙古自治区,,,
呼伦贝尔市,Hulunbuir,prefecture,prefecture_city,内蒙古自治区,,,
巴彦淖尔市,Bayannur,prefecture,prefecture_city,内蒙古自治区,,,
乌兰察布市,Ulanqab,prefecture,prefecture_city,内蒙古自治区,,,
兴安盟,Xingan,prefecture,league,内蒙古自治区,,,
锡林郭勒盟,Xilingol,prefecture,league,内蒙古自治区,,,
阿拉善盟,Alxa,prefecture,league,内蒙古自治区,,,
南宁市,Nanning,prefecture,prefecture_city,广西壮族自治区,Y,,省会
柳州市,Liuzhou,prefecture,prefecture_city,广西壮族自治区,,,
桂林市,Guilin,prefecture,prefecture_city,广西壮族自治区,,,
梧州市,Wuzhou,prefecture,prefecture_city,广西壮族自治区,,,
北海市,Beihai,prefecture,prefecture_city,广西壮族自治区,,,
防城港市,Fangchenggang,prefecture,prefecture_city,广西壮族自治区,,,
钦州市,Qinzhou,prefecture,prefecture_city,广西壮族自治区,,,
贵港市,Guigang,prefecture,prefecture_city,广西壮族自治区,,,
玉林市,Yulin,prefecture,prefecture_city,广西壮族自治区,,,
百色市,Baise,prefecture,prefecture_city,广西壮族自治区,,,
贺州市,Hezhou,prefecture,prefecture_city,广西壮族自治区,,,
河池市,Hechi,prefecture,prefecture_city,广西壮族自治区,,,
来宾市,Laibin,prefecture,prefecture_city,广西壮族自治区,,,
崇左市,Chongzuo,prefecture,prefecture_city,广西壮族自治区,,,
拉萨市,Lhasa,prefecture,prefecture_city,西藏自治区,Y,,省会
日喀则市,Shigatse,prefecture,prefecture_city,西藏自治区,,,
昌都市,Qamdo,prefecture,prefecture_city,西藏自治区,,,
林芝市,Nyingchi,prefecture,prefecture_city,西藏自治区,,,
山南市,Shannan,prefecture,prefecture_city,西藏自治区,,,
那曲市,Nagqu,prefecture,prefecture_city,西藏自治区,,,source-map: 那曲地区; upgraded to city 2018
阿里地区,Ngari,prefecture,prefecture,西藏自治区,,,
银川市,Yinchuan,prefecture,prefecture_city,宁夏回族自治区,Y,,省会
石嘴山市,Shizuishan,prefecture,prefecture_city,宁夏回族自治区,,,
吴忠市,Wuzhong,prefecture,prefecture_city,宁夏回族自治区,,,
固原市,Guyuan,prefecture,prefecture_city,宁夏回族自治区,,,
中卫市,Zhongwei,prefecture,prefecture_city,宁夏回族自治区,,,
乌鲁木齐市,Urumqi,prefecture,prefecture_city,新疆维吾尔自治区,Y,,省会
克拉玛依市,Karamay,prefecture,prefecture_city,新疆维吾尔自治区,,,
吐鲁番市,Turpan,prefecture,prefecture_city,新疆维吾尔自治区,,,
哈密市,Hami,prefecture,prefecture_city,新疆维吾尔自治区,,,
昌吉回族自治州,Changji,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,
博尔塔拉蒙古自治州,Bortala,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,
巴音郭楞蒙古自治州,Bayingolin,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,
克孜勒苏柯尔克孜自治州,Kizilsu,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,
伊犁哈萨克自治州,Ili,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,
阿克苏地区,Aksu,prefecture,prefecture,新疆维吾尔自治区,,,
喀什地区,Kashgar,prefecture,prefecture,新疆维吾尔自治区,,,
和田地区,Hotan,prefecture,prefecture,新疆维吾尔自治区,,,
塔城地区,Tacheng,prefecture,prefecture,新疆维吾尔自治区,,,
阿勒泰地区,Altay,prefecture,prefecture,新疆维吾尔自治区,,,
阿拉尔市,Alar,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC)
北屯市,Beitun,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC)
胡杨河市,Huyanghe,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC)
石河子市,Shihezi,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC)
图木舒克市,Tumxuk,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC)
五家渠市,Wujiaqu,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC)
白杨市,Baiyang,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC)
白沙黎族自治县,Baisha,prefecture,special_county_unit,海南省,,,县级
保亭黎族苗族自治县,Baoting,prefecture,special_county_unit,海南省,,,县级
昌江黎族自治县,Changjiang,prefecture,special_county_unit,海南省,,,县级
澄迈县,Chengmai,prefecture,special_county_unit,海南省,,,县级
定安县,Dingan,prefecture,special_county_unit,海南省,,,县级
东方市,Dongfang,prefecture,special_county_unit,海南省,,,县级市
乐东黎族自治县,Ledong,prefecture,special_county_unit,海南省,,,县级
临高县,Lingao,prefecture,special_county_unit,海南省,,,县级
陵水黎族自治县,Lingshui,prefecture,special_county_unit,海南省,,,县级
琼海市,Qionghai,prefecture,special_county_unit,海南省,,,县级市
琼中黎族苗族自治县,Qiongzhong,prefecture,special_county_unit,海南省,,,县级
屯昌县,Tunchang,prefecture,special_county_unit,海南省,,,县级
万宁市,Wanning,prefecture,special_county_unit,海南省,,,县级市
文昌市,Wenchang,prefecture,special_county_unit,海南省,,,县级市
五指山市,Wuzhishan,prefecture,special_county_unit,海南省,,,县级市
潜江市,Qianjiang,prefecture,special_county_unit,湖北省,,,省直辖县级
神农架林区,Shennongjia,prefecture,special_county_unit,湖北省,,,省直辖林区
天门市,Tianmen,prefecture,special_county_unit,湖北省,,,省直辖县级
仙桃市,Xiantao,prefecture,special_county_unit,湖北省,,,省直辖县级
济源市,Jiyuan,prefecture,special_county_unit,河南省,,,省直辖县级
