id	dimension	level	name_cn	candidate_url	counterpart
xinjiang.jtyst	dept	provincial	新疆维吾尔自治区交通运输厅	https://jtyst.xinjiang.gov.cn	mot
xinjiang.kjt	dept	provincial	新疆维吾尔自治区科学技术厅	https://kjt.xinjiang.gov.cn	most
xinjiang.mzt	dept	provincial	新疆维吾尔自治区民政厅	https://mzt.xinjiang.gov.cn	mca
xinjiang.nynct	dept	provincial	新疆维吾尔自治区农业农村厅	https://nynct.xinjiang.gov.cn	mara
xinjiang.scjgj	dept	provincial	新疆维吾尔自治区市场监督管理局	https://scjgj.xinjiang.gov.cn	samr
xinjiang.sft	dept	provincial	新疆维吾尔自治区司法厅	https://sft.xinjiang.gov.cn	moj
xinjiang.sjt	dept	provincial	新疆维吾尔自治区审计厅	https://sjt.xinjiang.gov.cn	cnao
xinjiang.slt	dept	provincial	新疆维吾尔自治区水利厅	https://slt.xinjiang.gov.cn	mwr
xinjiang.sthjt	dept	provincial	新疆维吾尔自治区生态环境厅	https://sthjt.xinjiang.gov.cn	mee
xinjiang.swt	dept	provincial	新疆维吾尔自治区商务厅	https://swt.xinjiang.gov.cn	mofcom
xinjiang.tjj	dept	provincial	新疆维吾尔自治区统计局	https://tjj.xinjiang.gov.cn	nbs
xinjiang.tyj	dept	provincial	新疆维吾尔自治区退役军人事务厅	https://tyj.xinjiang.gov.cn	mva
xinjiang.tyjr	dept	provincial	新疆维吾尔自治区体育局	https://tyjr.xinjiang.gov.cn	gas
xinjiang.wjw	dept	provincial	新疆维吾尔自治区卫生健康委员会	https://wjw.xinjiang.gov.cn	nhc
xinjiang.xfj	dept	provincial	新疆维吾尔自治区信访局	https://xfj.xinjiang.gov.cn	xinfang
xinjiang.zjt	dept	provincial	新疆维吾尔自治区住房和城乡建设厅	https://zjt.xinjiang.gov.cn	mohurd
xinjiang.zrzyt	dept	provincial	新疆维吾尔自治区自然资源厅	https://zrzyt.xinjiang.gov.cn	mnr
yunnan.gxt	dept	provincial	云南省工业和信息化厅	https://gxt.yn.gov.cn	miit
yunnan.gzw	dept	provincial	云南省国有资产监督管理委员会	https://gzw.yn.gov.cn	sasac
yunnan.jtyst	dept	provincial	云南省交通运输厅	https://jtyst.yn.gov.cn	mot
yunnan.kjt	dept	provincial	云南省科学技术厅	https://kjt.yn.gov.cn	most
yunnan.nyj	dept	provincial	云南省能源局	https://nyj.yn.gov.cn	nea
yunnan.sft	dept	provincial	云南省司法厅	https://sft.yn.gov.cn	moj
yunnan.swt	dept	provincial	云南省商务厅	https://swt.yn.gov.cn	mofcom
yunnan.tyj	dept	provincial	云南省退役军人事务厅	https://tyj.yn.gov.cn	mva
geo.pref.信阳市	geo	prefecture	信阳市人民政府	https://xinyang.gov.cn	
geo.pref.本溪市	geo	prefecture	本溪市人民政府	https://benxi.gov.cn	
geo.pref.赤峰市	geo	prefecture	赤峰市人民政府	https://chifeng.gov.cn	
