institution_cn,institution_en,level,url,confidence,reachable
盘锦市,Panjin,municipal/prefecture,https://www.panjin.gov.cn/,high,REACHABLE
石嘴山市,Shizuishan,municipal/prefecture,https://www.shizuishan.gov.cn/,high,REACHABLE
红河哈尼族彝族自治州,Honghe Hani and Yi Autonomous Prefecture,municipal/prefecture,https://www.hh.gov.cn/,high,REACHABLE
聊城市,Liaocheng,municipal/prefecture,https://www.liaocheng.gov.cn/,high,REACHABLE
芜湖市,Wuhu,municipal/prefecture,https://www.wuhu.gov.cn/,high,REACHABLE
茂名市,Maoming,municipal/prefecture,https://www.maoming.gov.cn/,high,REACHABLE
菏泽市,Heze,municipal/prefecture,https://www.heze.gov.cn/,high,REACHABLE
营口市,Yingkou,municipal/prefecture,https://www.yingkou.gov.cn/,high,REACHABLE
西安市,Xi'an,municipal/prefecture,https://www.xa.gov.cn/,high,REACHABLE
许昌市,Xuchang,municipal/prefecture,https://www.xuchang.gov.cn/,high,REACHABLE
连云港市,Lianyungang,municipal/prefecture,https://www.lyg.gov.cn/,high,REACHABLE
通化市,Tonghua,municipal/prefecture,https://www.tonghua.gov.cn/,high,REACHABLE
那曲地区,Nagqu,municipal/prefecture,https://www.naqu.gov.cn/,high,REACHABLE
郑州市,Zhengzhou,municipal/prefecture,https://www.zhengzhou.gov.cn/,high,REACHABLE
铜陵市,Tongling,municipal/prefecture,https://www.tl.gov.cn/,low,REACHABLE
锡林郭勒盟,Xilin Gol League,municipal/prefecture,https://www.xlgl.gov.cn/,high,REACHABLE
长春市,Changchun,municipal/prefecture,http://www.changchun.gov.cn/,high,REACHABLE
阜新市,Fuxin,municipal/prefecture,https://www.fuxin.gov.cn/,med,REACHABLE
阜阳市,Fuyang,municipal/prefecture,https://www.fuyang.gov.cn/,low,REACHABLE
阿坝藏族羌族自治州,Ngawa Tibetan and Qiang Autonomous Prefecture,municipal/prefecture,https://www.abazhou.gov.cn/,high,REACHABLE
阿里地区,Ngari Prefecture,municipal/prefecture,https://www.al.gov.cn/,high,REACHABLE
随州市,Suizhou,municipal/prefecture,https://www.suizhou.gov.cn/,med,REACHABLE
鸡西市,Jixi,municipal/prefecture,https://www.jixi.gov.cn/,med,REACHABLE
黑河市,Heihe,municipal/prefecture,https://www.heihe.gov.cn/,med,REACHABLE
乌海市,Wuhai,municipal/prefecture,https://www.wuhai.gov.cn/,med,REACHABLE
巴彦淖尔市,Bayannur,municipal/prefecture,https://www.bynr.gov.cn/,high,REACHABLE
阿拉尔市,Alar,municipal/prefecture,http://www.ale.gov.cn/,high,REACHABLE
澳门特别行政区,Macau Special Administrative Region,municipal/prefecture,https://www.gov.mo/,high,REACHABLE
北屯市,Beitun,municipal/prefecture,http://www.bts.gov.cn/,high,REACHABLE
胡杨河市,Huyanghe,municipal/prefecture,https://www.nqs.gov.cn/,high,REACHABLE
潜江市,Qianjiang,municipal/prefecture,https://www.hbqj.gov.cn/,high,REACHABLE
五家渠市,Wujiaqu,municipal/prefecture,https://www.wjq.gov.cn/,high,REACHABLE
香港特别行政区,Hong Kong Special Administrative Region,municipal/prefecture,https://www.gov.hk/,high,REACHABLE
（未具名）政务投诉集中网站,Centralized website for citizen complaints to the government,central,https://tousu.www.gov.cn/dc/index.htm,med,REACHABLE
新浪微博,Weibo (Sina Weibo) platform,non_gov_social,https://weibo.com/,high,REACHABLE
