idx,institution_cn,institution_en,level,official_url,confidence,notes
32,江苏省,Jiangsu (provincial-level unit),provincial,https://www.jiangsu.gov.cn/,high,Jiangsu provincial portal.
33,福建省,Fujian (provincial-level unit),provincial,https://www.fujian.gov.cn/,high,Fujian provincial portal.
34,河北省,Hebei (provincial-level unit),provincial,http://www.hebei.gov.cn/,high,Hebei provincial portal.
35,河南省,Henan (provincial-level unit),provincial,https://www.henan.gov.cn/,high,Henan provincial portal.
36,浙江省,Zhejiang (provincial-level unit),provincial,https://www.zj.gov.cn/,high,Zhejiang provincial portal (zj.gov.cn).
37,海南省,Hainan (provincial-level unit),provincial,https://www.hainan.gov.cn/,high,Hainan provincial portal.
38,湖北省,Hubei (provincial-level unit),provincial,https://www.hubei.gov.cn/,high,Hubei provincial portal.
39,湖南省,Hunan (provincial-level unit),provincial,https://www.hunan.gov.cn/,high,Hunan provincial portal.
40,甘肃省,Gansu (provincial-level unit),provincial,https://www.gansu.gov.cn/,high,Gansu provincial portal.
41,西藏自治区,Tibet (provincial-level unit),provincial,https://www.xizang.gov.cn/,high,Verified: Tibet autonomous region portal xizang.gov.cn.
42,贵州省,Guizhou (provincial-level unit),provincial,https://www.guizhou.gov.cn/,high,Guizhou provincial portal.
43,辽宁省,Liaoning (provincial-level unit),provincial,https://www.ln.gov.cn/,high,Verified: Liaoning provincial portal ln.gov.cn.
44,重庆市,Chongqing (provincial-level unit),provincial,http://www.cq.gov.cn/,high,Chongqing municipal government portal.
45,陕西省,Shaanxi (provincial-level unit),provincial,http://www.shaanxi.gov.cn/,high,Shaanxi (西安) provincial portal; distinct from Shanxi (shanxi.gov.cn).
46,青海省,Qinghai (provincial-level unit),provincial,http://www.qinghai.gov.cn/,high,Qinghai provincial portal.
47,七台河市,Qitaihe,municipal/prefecture,https://www.qitaihe.gov.cn/,med,standard pinyin heuristic; not verified in-session
48,三亚市,Sanya,municipal/prefecture,https://www.sanya.gov.cn/,med,standard pinyin (well-known Hainan portal); not verified in-session
49,三明市,Sanming,municipal/prefecture,https://www.sm.gov.cn/,high,verified abbreviation sm (Fujian); www.sanming.gov.cn also resolves
50,三门峡市,Sanmenxia,municipal/prefecture,https://www.smx.gov.cn/,high,verified abbreviation smx (Henan)
51,上饶市,Shangrao,municipal/prefecture,https://www.shangrao.gov.cn/,med,standard pinyin heuristic; not verified in-session
52,东营市,Dongying,municipal/prefecture,https://www.dongying.gov.cn/,med,standard pinyin heuristic; not verified in-session
53,中卫市,Zhongwei,municipal/prefecture,https://www.zhongwei.gov.cn/,med,standard pinyin (Ningxia); not verified in-session
54,临夏回族自治州,Linxia Hui Autonomous Prefecture,municipal/prefecture,https://www.linxia.gov.cn/,high,verified official prefecture portal
55,临汾市,Linfen,municipal/prefecture,https://www.linfen.gov.cn/,med,standard pinyin heuristic; not verified in-session
56,临沂市,Linyi,municipal/prefecture,https://www.linyi.gov.cn/,med,standard pinyin heuristic; not verified in-session
57,临沧市,Lincang,municipal/prefecture,https://www.lincang.gov.cn/,med,standard pinyin (Yunnan); not verified in-session
58,丹东市,Dandong,municipal/prefecture,https://www.dandong.gov.cn/,med,standard pinyin heuristic; not verified in-session
59,丽水市,Lishui,municipal/prefecture,https://www.lishui.gov.cn/,med,standard pinyin (Zhejiang); not verified in-session
60,丽江市,Lijiang,municipal/prefecture,https://www.lijiang.gov.cn/,med,standard pinyin (Yunnan); not verified in-session
61,乌鲁木齐市,Urumqi,municipal/prefecture,https://www.wlmq.gov.cn/,high,verified abbreviation wlmq; www.urumqi.gov.cn also resolves
62,乐山市,Leshan,municipal/prefecture,https://www.leshan.gov.cn/,med,standard pinyin (Sichuan); not verified in-session
63,九江市,Jiujiang,municipal/prefecture,https://www.jiujiang.gov.cn/,med,standard pinyin (Jiangxi); not verified in-session
64,云浮市,Yunfu,municipal/prefecture,https://www.yunfu.gov.cn/,med,standard pinyin (Guangdong); not verified in-session
65,亳州市,Bozhou,municipal/prefecture,https://www.bozhou.gov.cn/,med,standard pinyin (Anhui); not verified in-session
66,伊春市,Yichun (Heilongjiang),municipal/prefecture,https://www.yc.gov.cn/,high,verified abbreviation yc; resolves name-collision vs 宜春 Jiangxi (yichun.gov.cn)
67,伊犁哈萨克自治州,Ili Kazakh Autonomous Prefecture,municipal/prefecture,https://www.xjyl.gov.cn/,high,verified; xj-prefixed Xinjiang prefecture domain (NOT ili)
68,佛山市,Foshan,municipal/prefecture,https://www.foshan.gov.cn/,med,standard pinyin (well-known Guangdong); not verified in-session
69,佳木斯市,Jiamusi,municipal/prefecture,https://www.jiamusi.gov.cn/,med,standard pinyin (Heilongjiang); not verified in-session
70,保定市,Baoding,municipal/prefecture,https://www.baoding.gov.cn/,med,standard pinyin (Hebei); not verified in-session
71,保山市,Baoshan,municipal/prefecture,https://www.baoshan.gov.cn/,med,standard pinyin (Yunnan); not verified in-session
72,信阳市,Xinyang,municipal/prefecture,https://www.xinyang.gov.cn/,med,standard pinyin (Henan); not verified in-session
73,儋州市,Danzhou,municipal/prefecture,https://www.danzhou.gov.cn/,med,standard pinyin (Hainan); not verified in-session
74,克孜勒苏柯尔克孜自治州,Kizilsu Kirghiz Autonomous Prefecture,municipal/prefecture,https://www.xjkz.gov.cn/,high,verified; xj-prefixed Xinjiang prefecture domain (NOT kizilsu)
75,克拉玛依市,Karamay,municipal/prefecture,https://www.klmy.gov.cn/,high,verified abbreviation klmy (Xinjiang)
76,六安市,Lu'an,municipal/prefecture,https://www.luan.gov.cn/,high,verified (Anhui)
77,六盘水市,Liupanshui,municipal/prefecture,https://www.liupanshui.gov.cn/,med,standard pinyin (Guizhou); not verified in-session
78,兰州市,Lanzhou,municipal/prefecture,https://www.lanzhou.gov.cn/,high,verified full pinyin (NOT lz as older refs suggest)
79,兴安盟,Xing'an League,municipal/prefecture,https://www.xam.gov.cn/,high,verified league admin office (行政公署) abbreviation xam
80,内江市,Neijiang,municipal/prefecture,https://www.neijiang.gov.cn/,med,standard pinyin (Sichuan); not verified in-session
81,凉山彝族自治州,Liangshan Yi Autonomous Prefecture,municipal/prefecture,https://www.lsz.gov.cn/,high,verified abbreviation lsz (NOT liangshan)
82,北海市,Beihai,municipal/prefecture,https://www.beihai.gov.cn/,med,standard pinyin (Guangxi); not verified in-session
83,十堰市,Shiyan,municipal/prefecture,https://www.shiyan.gov.cn/,med,standard pinyin (Hubei); not verified in-session
84,南京市,Nanjing,municipal/prefecture,https://www.nanjing.gov.cn/,med,standard pinyin (well-known Jiangsu capital); not verified in-session
85,南充市,Nanchong,municipal/prefecture,https://www.nanchong.gov.cn/,med,standard pinyin (Sichuan); not verified in-session
86,南宁市,Nanning,municipal/prefecture,https://www.nanning.gov.cn/,med,standard pinyin (Guangxi capital); not verified in-session
87,南平市,Nanping,municipal/prefecture,https://www.np.gov.cn/,high,verified abbreviation np (Fujian)
88,南昌市,Nanchang,municipal/prefecture,https://www.nc.gov.cn/,high,verified abbreviation nc (Jiangxi capital)
89,南通市,Nantong,municipal/prefecture,https://www.nantong.gov.cn/,med,standard pinyin (Jiangsu); not verified in-session
90,南阳市,Nanyang,municipal/prefecture,https://www.nanyang.gov.cn/,med,standard pinyin (Henan); not verified in-session
91,博尔塔拉蒙古自治州,Bortala Mongol Autonomous Prefecture,municipal/prefecture,https://www.xjboz.gov.cn/,high,verified; xj-prefixed Xinjiang prefecture domain (NOT bortala)
92,厦门市,Xiamen,municipal/prefecture,https://www.xm.gov.cn/,high,verified abbreviation xm (Fujian)
93,双鸭山市,Shuangyashan,municipal/prefecture,https://www.shuangyashan.gov.cn/,med,standard pinyin (Heilongjiang); not verified in-session
94,台州市,Taizhou (Zhejiang),municipal/prefecture,https://www.zjtz.gov.cn/,high,verified abbreviation zjtz (Zhejiang; distinct from Jiangsu Taizhou)
95,合肥市,Hefei,municipal/prefecture,https://www.hefei.gov.cn/,med,standard pinyin (Anhui capital); not verified in-session
96,吉安市,Ji'an,municipal/prefecture,https://www.jian.gov.cn/,high,verified (Jiangxi)
97,吉林市,Jilin City,municipal/prefecture,https://www.jlcity.gov.cn/,high,verified jlcity (distinct from Jilin province jl.gov.cn)
98,吐鲁番市,Turpan,municipal/prefecture,https://www.tlf.gov.cn/,high,verified abbreviation tlf (Xinjiang)
99,吕梁市,Lüliang,municipal/prefecture,https://www.lvliang.gov.cn/,high,verified lvliang (Shanxi; NOT lliang)
100,吴忠市,Wuzhong,municipal/prefecture,https://www.wuzhong.gov.cn/,med,standard pinyin (Ningxia); not verified in-session
101,周口市,Zhoukou,municipal/prefecture,https://www.zhoukou.gov.cn/,med,standard pinyin (Henan); not verified in-session
102,和田地区,Hotan Prefecture,municipal/prefecture,https://www.xjht.gov.cn/,high,verified; Xinjiang admin office (行政公署) xj-prefix (NOT hotan)
103,咸宁市,Xianning,municipal/prefecture,https://www.xianning.gov.cn/,med,standard pinyin (Hubei); not verified in-session
104,咸阳市,Xianyang,municipal/prefecture,https://www.xianyang.gov.cn/,med,standard pinyin (Shaanxi); not verified in-session
105,哈密市,Hami,municipal/prefecture,https://www.hami.gov.cn/,high,verified (Xinjiang)
106,哈尔滨市,Harbin,municipal/prefecture,https://www.harbin.gov.cn/,med,established convention harbin (Heilongjiang capital); not verified in-session
107,唐山市,Tangshan,municipal/prefecture,https://www.tangshan.gov.cn/,med,standard pinyin (Hebei); not verified in-session
108,商丘市,Shangqiu,municipal/prefecture,https://www.shangqiu.gov.cn/,med,standard pinyin (Henan); not verified in-session
109,商洛市,Shangluo,municipal/prefecture,https://www.shangluo.gov.cn/,med,standard pinyin (Shaanxi); not verified in-session
110,喀什地区,Kashgar Prefecture,municipal/prefecture,https://www.kashi.gov.cn/,high,verified; admin office (行政公署) kashi (NOT kashgar)
111,嘉兴市,Jiaxing,municipal/prefecture,https://www.jiaxing.gov.cn/,med,standard pinyin (Zhejiang); not verified in-session
112,嘉峪关市,Jiayuguan,municipal/prefecture,https://www.jiayuguan.gov.cn/,med,standard pinyin (Gansu); not verified in-session
113,四平市,Siping,municipal/prefecture,https://www.siping.gov.cn/,med,standard pinyin (Jilin); not verified in-session
114,固原市,Guyuan,municipal/prefecture,https://www.guyuan.gov.cn/,med,standard pinyin (Ningxia); not verified in-session
115,塔城地区,Tacheng Prefecture,municipal/prefecture,https://www.xjtc.gov.cn/,high,verified; Xinjiang admin office xj-prefix (NOT tacheng)
116,大兴安岭地区,Daxing'anling Prefecture,municipal/prefecture,https://www.dxal.gov.cn/,high,verified abbreviation dxal (Heilongjiang admin office)
117,大同市,Datong,municipal/prefecture,https://www.datong.gov.cn/,med,standard pinyin (Shanxi); not verified in-session
118,大庆市,Daqing,municipal/prefecture,https://www.daqing.gov.cn/,med,standard pinyin (Heilongjiang); not verified in-session
119,大理白族自治州,Dali Bai Autonomous Prefecture,municipal/prefecture,https://www.dali.gov.cn/,high,verified (Yunnan; city portal is separate yndali.gov.cn)
120,大连市,Dalian,municipal/prefecture,https://www.dl.gov.cn/,high,verified abbreviation dl (Liaoning)
121,天水市,Tianshui,municipal/prefecture,https://www.tianshui.gov.cn/,med,standard pinyin (Gansu); not verified in-session
122,太原市,Taiyuan,municipal/prefecture,https://www.taiyuan.gov.cn/,med,standard pinyin (Shanxi capital); not verified in-session
123,威海市,Weihai,municipal/prefecture,https://www.weihai.gov.cn/,med,standard pinyin (Shandong); not verified in-session
124,娄底市,Loudi,municipal/prefecture,https://www.loudi.gov.cn/,med,standard pinyin (Hunan); not verified in-session
125,孝感市,Xiaogan,municipal/prefecture,https://www.xiaogan.gov.cn/,med,standard pinyin (Hubei); not verified in-session
126,宁德市,Ningde,municipal/prefecture,https://www.ningde.gov.cn/,med,Fujian; abbreviation risk (some Fujian cities use abbrevs) - unverified in-session
127,宁波市,Ningbo,municipal/prefecture,https://www.ningbo.gov.cn/,high,verified full pinyin (NOT nb as older refs suggest)
128,安庆市,Anqing,municipal/prefecture,https://www.anqing.gov.cn/,med,standard pinyin (Anhui); not verified in-session
129,安康市,Ankang,municipal/prefecture,https://www.ankang.gov.cn/,med,standard pinyin (Shaanxi); not verified in-session
130,安阳市,Anyang,municipal/prefecture,https://www.anyang.gov.cn/,med,standard pinyin (Henan); not verified in-session
131,安顺市,Anshun,municipal/prefecture,https://www.anshun.gov.cn/,med,standard pinyin (Guizhou); not verified in-session
132,定西市,Dingxi,municipal/prefecture,https://www.dingxi.gov.cn/,med,standard pinyin (Gansu); not verified in-session
133,宜宾市,Yibin,municipal/prefecture,https://www.yibin.gov.cn/,med,standard pinyin (Sichuan); not verified in-session
134,宜昌市,Yichang,municipal/prefecture,https://www.yichang.gov.cn/,med,standard pinyin (Hubei); not verified in-session
135,宜春市,Yichun (Jiangxi),municipal/prefecture,https://www.yichun.gov.cn/,high,verified full pinyin (collision partner 伊春 Heilongjiang uses yc.gov.cn)
136,宝鸡市,Baoji,municipal/prefecture,https://www.baoji.gov.cn/,med,standard pinyin (Shaanxi); not verified in-session
137,宣城市,Xuancheng,municipal/prefecture,https://www.xuancheng.gov.cn/,high,verified via subdomain zrzyghj.xuancheng.gov.cn (Anhui)
138,宿州市,Suzhou (Anhui),municipal/prefecture,https://www.ahsz.gov.cn/,high,verified abbreviation ahsz (Anhui; distinct from Jiangsu Suzhou suzhou.gov.cn)
139,宿迁市,Suqian,municipal/prefecture,https://www.suqian.gov.cn/,high,verified via websearch
140,山南市,Shannan,municipal/prefecture,https://www.shannan.gov.cn/,high,verified; Tibet
141,岳阳市,Yueyang,municipal/prefecture,https://www.yueyang.gov.cn/,high,verified
142,崇左市,Chongzuo,municipal/prefecture,http://www.chongzuo.gov.cn/,high,verified; Guangxi
143,巴中市,Bazhong,municipal/prefecture,https://www.cnbz.gov.cn/,high,verified; abbrev cnbz (hint bazhong wrong)
144,巴音郭楞蒙古自治州,Bayingolin Mongol Autonomous Prefecture,municipal/prefecture,https://www.xjbz.gov.cn/,high,verified; abbrev xjbz (Xinjiang Bazhou)
145,常州市,Changzhou,municipal/prefecture,https://www.changzhou.gov.cn/,high,verified
146,常德市,Changde,municipal/prefecture,https://www.changde.gov.cn/,high,verified
147,平凉市,Pingliang,municipal/prefecture,https://www.pingliang.gov.cn/,high,verified; Gansu
148,平顶山市,Pingdingshan,municipal/prefecture,https://www.pds.gov.cn/,high,verified; abbrev pds (hint pingdingshan wrong)
149,广元市,Guangyuan,municipal/prefecture,https://www.cngy.gov.cn/,high,verified; abbrev cngy (hint guangyuan wrong)
150,广安市,Guang'an,municipal/prefecture,https://www.guang-an.gov.cn/,high,verified; hyphenated guang-an (hint guangan wrong)
151,广州市,Guangzhou,municipal/prefecture,https://www.gz.gov.cn/,high,verified; abbrev gz (hint guangzhou wrong)
152,庆阳市,Qingyang,municipal/prefecture,https://www.zgqingyang.gov.cn/,high,verified; zgqingyang (hint qingyang wrong); Gansu
153,廊坊市,Langfang,municipal/prefecture,https://www.lf.gov.cn/,high,verified; abbrev lf (hint langfang wrong)
154,延安市,Yan'an,municipal/prefecture,http://www.yanan.gov.cn/,high,verified; Shaanxi
155,延边朝鲜族自治州,Yanbian Korean Autonomous Prefecture,municipal/prefecture,http://www.yanbian.gov.cn/,high,verified; Jilin
156,开封市,Kaifeng,municipal/prefecture,https://www.kaifeng.gov.cn/,high,verified
157,张家口市,Zhangjiakou,municipal/prefecture,http://www.zjk.gov.cn/,high,verified; abbrev zjk (hint zhangjiakou wrong)
158,张家界市,Zhangjiajie,municipal/prefecture,http://www.zjj.gov.cn/,high,verified; abbrev zjj (hint zhangjiajie wrong)
159,张掖市,Zhangye,municipal/prefecture,https://www.zhangye.gov.cn/,high,verified; Gansu
160,徐州市,Xuzhou,municipal/prefecture,https://www.xz.gov.cn/,high,verified; abbrev xz (hint xuzhou wrong)
161,德宏傣族景颇族自治州,Dehong Dai and Jingpo Autonomous Prefecture,municipal/prefecture,https://www.dh.gov.cn/,high,verified; abbrev dh (hint dehong wrong); Yunnan
162,德州市,Dezhou,municipal/prefecture,https://www.dezhou.gov.cn/,high,verified; Shandong
163,德阳市,Deyang,municipal/prefecture,https://www.deyang.gov.cn/,high,verified
164,忻州市,Xinzhou,municipal/prefecture,https://www.sxxz.gov.cn/,high,verified; abbrev sxxz (hint xinzhou wrong); Shanxi
165,怀化市,Huaihua,municipal/prefecture,https://www.huaihua.gov.cn/,high,verified
166,怒江傈僳族自治州,Nujiang Lisu Autonomous Prefecture,municipal/prefecture,https://www.nujiang.gov.cn/,high,verified; Yunnan
167,恩施土家族苗族自治州,Enshi Tujia and Miao Autonomous Prefecture,municipal/prefecture,http://www.enshi.gov.cn/,high,verified; Hubei
168,惠州市,Huizhou,municipal/prefecture,https://www.huizhou.gov.cn/,high,verified; Guangdong
169,成都市,Chengdu,municipal/prefecture,http://www.chengdu.gov.cn/,high,verified
170,扬州市,Yangzhou,municipal/prefecture,https://www.yangzhou.gov.cn/,high,verified
171,承德市,Chengde,municipal/prefecture,https://www.chengde.gov.cn/,high,verified; Hebei
172,抚州市,Fuzhou,municipal/prefecture,http://www.jxfz.gov.cn/,high,verified; abbrev jxfz (Jiangxi Fuzhou; avoids clash with Fujian 福州)
173,抚顺市,Fushun,municipal/prefecture,https://www.fushun.gov.cn/,high,verified; Liaoning
174,拉萨市,Lhasa,municipal/prefecture,https://www.lasa.gov.cn/,high,verified; lasa (hint lhasa wrong); Tibet
175,揭阳市,Jieyang,municipal/prefecture,http://www.jieyang.gov.cn/,high,verified; Guangdong
176,攀枝花市,Panzhihua,municipal/prefecture,http://www.panzhihua.gov.cn/,high,verified
177,文山壮族苗族自治州,Wenshan Zhuang and Miao Autonomous Prefecture,municipal/prefecture,https://www.ynws.gov.cn/,high,verified; abbrev ynws (hint wenshan wrong); Yunnan
178,新乡市,Xinxiang,municipal/prefecture,https://www.xinxiang.gov.cn/,high,verified
179,新余市,Xinyu,municipal/prefecture,http://www.xinyu.gov.cn/,high,verified; Jiangxi
180,无锡市,Wuxi,municipal/prefecture,https://www.wuxi.gov.cn/,high,verified
181,日喀则市,Shigatse,municipal/prefecture,http://www.rikaze.gov.cn/,high,verified; rikaze (hint shigatse wrong); Tibet
182,日照市,Rizhao,municipal/prefecture,http://www.rizhao.gov.cn/,high,verified; Shandong
183,昆明市,Kunming,municipal/prefecture,https://www.km.gov.cn/,high,verified; abbrev km
184,昌吉回族自治州,Changji Hui Autonomous Prefecture,municipal/prefecture,https://www.cj.gov.cn/,high,verified; abbrev cj (hint changji wrong); Xinjiang
185,昌都市,Qamdo,municipal/prefecture,https://www.changdu.gov.cn/,high,verified; changdu (hint qamdo wrong); Tibet
186,昭通市,Zhaotong,municipal/prefecture,http://www.zt.gov.cn/,high,verified; abbrev zt (hint zhaotong wrong); Yunnan
187,晋中市,Jinzhong,municipal/prefecture,https://www.sxjz.gov.cn/,high,verified; abbrev sxjz (hint jinzhong wrong); Shanxi
188,晋城市,Jincheng,municipal/prefecture,https://www.jcgov.gov.cn/,high,verified; jcgov (hint jincheng wrong); Shanxi
189,普洱市,Pu'er,municipal/prefecture,https://www.puershi.gov.cn/,high,verified; puershi (hint puer wrong); Yunnan
190,景德镇市,Jingdezhen,municipal/prefecture,https://www.jdz.gov.cn/,high,verified; abbrev jdz (hint jingdezhen wrong); Jiangxi
191,曲靖市,Qujing,municipal/prefecture,https://www.qj.gov.cn/,high,verified; abbrev qj (hint qujing wrong); Yunnan
192,朔州市,Shuozhou,municipal/prefecture,http://www.shuozhou.gov.cn/,high,verified; Shanxi
193,朝阳市,Chaoyang,municipal/prefecture,https://www.chaoyang.gov.cn/,high,verified; Liaoning (city
194,本溪市,Benxi,municipal/prefecture,https://www.benxi.gov.cn/,high,verified; Liaoning
195,来宾市,Laibin,municipal/prefecture,http://www.laibin.gov.cn/,high,verified; Guangxi
196,杭州市,Hangzhou,municipal/prefecture,https://www.hangzhou.gov.cn/,high,verified
197,松原市,Songyuan,municipal/prefecture,http://www.jlsy.gov.cn/,high,verified; abbrev jlsy (hint songyuan wrong); Jilin
198,林芝市,Nyingchi,municipal/prefecture,http://www.linzhi.gov.cn/,high,verified; linzhi (hint nyingchi wrong); Tibet
199,果洛藏族自治州,Golog Tibetan Autonomous Prefecture,municipal/prefecture,http://www.guoluo.gov.cn/,high,verified; guoluo (hint golog wrong); Qinghai
200,枣庄市,Zaozhuang,municipal/prefecture,https://www.zaozhuang.gov.cn/,med,zaozhuang.gov.cn domain confirmed via subdomain (spfw.zaozhuang.gov.cn); www homepage not directly confirmed before search budget exhausted
201,柳州市,Liuzhou,municipal/prefecture,http://www.liuzhou.gov.cn/,high,verified; Guangxi
202,株洲市,Zhuzhou,municipal/prefecture,http://www.zhuzhou.gov.cn/,high,verified
203,桂林市,Guilin,municipal/prefecture,https://www.guilin.gov.cn/,high,verified; Guangxi
204,梅州市,Meizhou,municipal/prefecture,https://www.meizhou.gov.cn/,med,from knowledge; unverified (websearch budget exhausted); Guangdong
205,梧州市,Wuzhou,municipal/prefecture,http://www.wuzhou.gov.cn/,med,from knowledge; unverified (budget exhausted); Guangxi
206,楚雄彝族自治州,Chuxiong Yi Autonomous Prefecture,municipal/prefecture,https://www.cxz.gov.cn/,high,verified; abbrev cxz (chuxiong.gov.cn also resolves); Yunnan
207,榆林市,Yulin,municipal/prefecture,https://www.yl.gov.cn/,high,verified; abbrev yl (hint yulin wrong; yulin.gov.cn is Guangxi 玉林)
208,武威市,Wuwei,municipal/prefecture,http://www.wuwei.gov.cn/,med,from knowledge; unverified (budget exhausted); Gansu
209,武汉市,Wuhan,municipal/prefecture,http://www.wuhan.gov.cn/,high,well-known standard domain (already in corpus per project notes)
210,毕节市,Bijie,municipal/prefecture,http://www.bijie.gov.cn/,med,from knowledge; unverified (budget exhausted); Guizhou
211,永州市,Yongzhou,municipal/prefecture,http://www.yongzhou.gov.cn/,med,from knowledge; unverified (budget exhausted); Hunan
212,汉中市,Hanzhong,municipal/prefecture,http://www.hanzhong.gov.cn/,med,from knowledge; unverified (budget exhausted); Shaanxi
213,汕头市,Shantou,municipal/prefecture,http://www.shantou.gov.cn/,med,from knowledge (in corpus per project notes); unverified this run; Guangdong
214,汕尾市,Shanwei,municipal/prefecture,http://www.shanwei.gov.cn/,med,from knowledge (in corpus per project notes); unverified this run; Guangdong
215,江门市,Jiangmen,municipal/prefecture,http://www.jiangmen.gov.cn/,med,from knowledge (in corpus per project notes); unverified this run; Guangdong
216,池州市,Chizhou,municipal/prefecture,http://www.chizhou.gov.cn/,med,from knowledge; unverified (budget exhausted); Anhui
217,沈阳市,Shenyang,municipal/prefecture,http://www.shenyang.gov.cn/,med,from knowledge (in corpus per project notes); unverified this run; Liaoning
218,沧州市,Cangzhou,municipal/prefecture,http://www.cangzhou.gov.cn/,med,from knowledge; unverified (budget exhausted); Hebei
219,河池市,Hechi,municipal/prefecture,http://www.hechi.gov.cn/,med,from knowledge; unverified (budget exhausted); Guangxi
220,河源市,Heyuan,municipal/prefecture,http://www.heyuan.gov.cn/,med,from knowledge (in corpus per project notes); unverified this run; Guangdong
221,泉州市,Quanzhou,municipal/prefecture,http://www.quanzhou.gov.cn/,med,from knowledge; unverified (budget exhausted); Fujian
222,泰安市,Tai'an,municipal/prefecture,http://www.taian.gov.cn/,med,from knowledge; unverified (budget exhausted); Shandong
223,泰州市,Taizhou,municipal/prefecture,https://www.taizhou.gov.cn/,high,verified; Jiangsu Taizhou (台州 Zhejiang uses zjtz.gov.cn)
224,泸州市,Luzhou,municipal/prefecture,http://www.luzhou.gov.cn/,med,from knowledge; unverified (budget exhausted); Sichuan
225,洛阳市,Luoyang,municipal/prefecture,https://www.ly.gov.cn/,low,unverified; likely abbrev ly.gov.cn but could be luoyang.gov.cn — NEEDS verification
226,济南市,Jinan,municipal/prefecture,http://www.jinan.gov.cn/,med,from knowledge (in corpus per project notes); unverified this run; Shandong
227,济宁市,Jining,municipal/prefecture,http://www.jining.gov.cn/,med,from knowledge; unverified (budget exhausted); Shandong
